route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
4419_48887,115,4419_4271,Saggart,355.SuBH.93-RED-y11-,0,4419_7778148_Txc110250,4419_22
4419_48887,115,4419_4272,Tallaght,362.SuBH.93-RED-y11-,0,4419_7778148_Txc110282,4419_34
4419_48887,112,4419_4283,Saggart,435.MF-BH.93-RED-y11,0,4419_7778148_Txc110413,4419_22
4419_48887,112,4419_4284,Tallaght,444.MF-BH.93-RED-y11,0,4419_7778148_Txc110426,4419_32
4419_48887,113,4419_4285,Saggart,334.Sat.93-RED-y11-1,0,4419_7778148_Txc110157,4419_22
4419_48887,114,4419_4286,Saggart,334.gf.93-RED-y11-16,0,4419_7778148_Txc110159,4419_22
4419_48887,115,4419_4287,Saggart,357.SuBH.93-RED-y11-,0,4419_7778148_Txc110258,4419_22
4419_48887,113,4419_4294,Tallaght,341.Sat.93-RED-y11-1,0,4419_7778148_Txc110189,4419_19
4419_48887,114,4419_4295,Tallaght,341.gf.93-RED-y11-16,0,4419_7778148_Txc110191,4419_33
4419_48887,115,4419_4298,Tallaght,364.SuBH.93-RED-y11-,0,4419_7778148_Txc110290,4419_34
4419_48887,112,4419_4303,Saggart,437.MF-BH.93-RED-y11,0,4419_7778148_Txc110415,4419_22
4419_48887,113,4419_4304,Saggart,336.Sat.93-RED-y11-1,0,4419_7778148_Txc110165,4419_22
4419_48887,114,4419_4305,Saggart,336.gf.93-RED-y11-16,0,4419_7778148_Txc110167,4419_22
4419_48887,112,4419_4306,Tallaght,446.MF-BH.93-RED-y11,0,4419_7778148_Txc110428,4419_32
4419_48887,115,4419_4309,Saggart,359.SuBH.93-RED-y11-,0,4419_7778148_Txc110266,4419_22
4419_48887,112,4419_4310,Saggart,439.MF-BH.93-RED-y11,0,4419_7778148_Txc110417,4419_22
4419_48887,113,4419_4315,Tallaght,343.Sat.93-RED-y11-1,0,4419_7778148_Txc110197,4419_19
4419_48887,114,4419_4316,Tallaght,343.gf.93-RED-y11-16,0,4419_7778148_Txc110199,4419_33
4419_48887,115,4419_4317,Tallaght,366.SuBH.93-RED-y11-,0,4419_7778148_Txc110298,4419_34
4419_48886,113,4419_432,Brides Glen,176.Sat.93-GRN-y11-1,0,4419_7778148_Txc104931,4419_5
4419_48887,113,4419_4324,Saggart,338.Sat.93-RED-y11-1,0,4419_7778148_Txc110173,4419_22
4419_48887,114,4419_4325,Saggart,338.gf.93-RED-y11-16,0,4419_7778148_Txc110175,4419_22
4419_48887,112,4419_4326,Tallaght,448.MF-BH.93-RED-y11,0,4419_7778148_Txc110430,4419_32
4419_48887,112,4419_4329,Saggart,441.MF-BH.93-RED-y11,0,4419_7778148_Txc110423,4419_22
4419_48886,114,4419_433,Brides Glen,176.gf.93-GRN-y11-16,0,4419_7778148_Txc104932,4419_5
4419_48887,115,4419_4330,Saggart,361.SuBH.93-RED-y11-,0,4419_7778148_Txc110278,4419_22
4419_48887,113,4419_4335,Tallaght,345.Sat.93-RED-y11-1,0,4419_7778148_Txc110205,4419_19
4419_48887,114,4419_4336,Tallaght,345.gf.93-RED-y11-16,0,4419_7778148_Txc110207,4419_33
4419_48887,115,4419_4337,Tallaght,368.SuBH.93-RED-y11-,0,4419_7778148_Txc110303,4419_34
4419_48886,112,4419_434,Brides Glen,273.MF-BH.93-GRN-y11,0,4419_7778148_Txc105263,4419_5
4419_48887,112,4419_4344,Saggart,443.MF-BH.93-RED-y11,0,4419_7778148_Txc110425,4419_22
4419_48887,112,4419_4345,Tallaght,450.MF-BH.93-RED-y11,0,4419_7778148_Txc110436,4419_32
4419_48887,113,4419_4346,Saggart,340.Sat.93-RED-y11-1,0,4419_7778148_Txc110185,4419_22
4419_48887,114,4419_4347,Saggart,340.gf.93-RED-y11-16,0,4419_7778148_Txc110187,4419_22
4419_48887,115,4419_4350,Saggart,363.SuBH.93-RED-y11-,0,4419_7778148_Txc110286,4419_22
4419_48887,115,4419_4355,Tallaght,370.SuBH.93-RED-y11-,0,4419_7778148_Txc110311,4419_34
4419_48887,113,4419_4360,Tallaght,347.Sat.93-RED-y11-1,0,4419_7778148_Txc110213,4419_19
4419_48887,114,4419_4361,Tallaght,347.gf.93-RED-y11-16,0,4419_7778148_Txc110215,4419_33
4419_48887,112,4419_4364,Saggart,445.MF-BH.93-RED-y11,0,4419_7778148_Txc110427,4419_22
4419_48887,112,4419_4365,Tallaght,452.MF-BH.93-RED-y11,0,4419_7778148_Txc110438,4419_32
4419_48887,113,4419_4366,Saggart,342.Sat.93-RED-y11-1,0,4419_7778148_Txc110193,4419_22
4419_48887,114,4419_4367,Saggart,342.gf.93-RED-y11-16,0,4419_7778148_Txc110195,4419_22
4419_48887,115,4419_4370,Saggart,365.SuBH.93-RED-y11-,0,4419_7778148_Txc110294,4419_22
4419_48887,115,4419_4375,Tallaght,372.SuBH.93-RED-y11-,0,4419_7778148_Txc110315,4419_34
4419_48886,112,4419_438,Sandyford,276.MF-BH.93-GRN-y11,0,4419_7778148_Txc105266,4419_4
4419_48887,113,4419_4380,Tallaght,349.Sat.93-RED-y11-1,0,4419_7778148_Txc110221,4419_19
4419_48887,114,4419_4381,Tallaght,349.gf.93-RED-y11-16,0,4419_7778148_Txc110223,4419_33
4419_48887,112,4419_4384,Saggart,447.MF-BH.93-RED-y11,0,4419_7778148_Txc110429,4419_22
4419_48887,113,4419_4385,Saggart,344.Sat.93-RED-y11-1,0,4419_7778148_Txc110201,4419_22
4419_48887,114,4419_4386,Saggart,344.gf.93-RED-y11-16,0,4419_7778148_Txc110203,4419_22
4419_48887,115,4419_4387,Saggart,367.SuBH.93-RED-y11-,0,4419_7778148_Txc110301,4419_22
4419_48886,113,4419_439,Brides Glen,179.Sat.93-GRN-y11-1,0,4419_7778148_Txc104940,4419_1
4419_48887,115,4419_4394,Tallaght,374.SuBH.93-RED-y11-,0,4419_7778148_Txc110319,4419_34
4419_48887,112,4419_4395,Tallaght,454.MF-BH.93-RED-y11,0,4419_7778148_Txc110440,4419_32
4419_48886,112,4419_44,Brides Glen,206.MF-BH.93-GRN-y11,0,4419_7778148_Txc105036,4419_1
4419_48886,114,4419_440,Brides Glen,179.gf.93-GRN-y11-16,0,4419_7778148_Txc104941,4419_1
4419_48887,113,4419_4400,Tallaght,351.Sat.93-RED-y11-1,0,4419_7778148_Txc110233,4419_19
4419_48887,114,4419_4401,Tallaght,351.gf.93-RED-y11-16,0,4419_7778148_Txc110235,4419_33
4419_48887,112,4419_4404,Saggart,449.MF-BH.93-RED-y11,0,4419_7778148_Txc110431,4419_22
4419_48887,113,4419_4405,Saggart,346.Sat.93-RED-y11-1,0,4419_7778148_Txc110209,4419_22
4419_48887,114,4419_4406,Saggart,346.gf.93-RED-y11-16,0,4419_7778148_Txc110211,4419_22
4419_48887,115,4419_4407,Saggart,369.SuBH.93-RED-y11-,0,4419_7778148_Txc110305,4419_22
4419_48887,113,4419_4414,Tallaght,353.Sat.93-RED-y11-1,0,4419_7778148_Txc110241,4419_19
4419_48887,114,4419_4415,Tallaght,353.gf.93-RED-y11-16,0,4419_7778148_Txc110243,4419_33
