route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
4466_86723,86,4466_2196,Ticknock,103778173,1,4466_7778022_100600,4466_32
4466_86741,184,4466_21960,Citywest,104151353,1,4466_7778022_101080,4466_175
4466_86741,185,4466_21961,Citywest,104311353,1,4466_7778022_101080,4466_175
4466_86741,186,4466_21962,Citywest,104321353,1,4466_7778022_101080,4466_175
4466_86741,187,4466_21963,Citywest,104431353,1,4466_7778022_101080,4466_175
4466_86741,188,4466_21964,Citywest,104541353,1,4466_7778022_101080,4466_175
4466_86741,189,4466_21965,Citywest,104651353,1,4466_7778022_101080,4466_175
4466_86741,180,4466_21966,Citywest,103811393,1,4466_7778022_101220,4466_175
4466_86741,181,4466_21967,Citywest,103821393,1,4466_7778022_101220,4466_175
4466_86741,182,4466_21968,Citywest,103931393,1,4466_7778022_101220,4466_175
4466_86741,183,4466_21969,Citywest,104041393,1,4466_7778022_101220,4466_175
4466_86723,190,4466_2197,Ticknock,103718173,1,4466_7778022_100600,4466_32
4466_86741,184,4466_21970,Citywest,104151393,1,4466_7778022_101220,4466_175
4466_86741,185,4466_21971,Citywest,104311393,1,4466_7778022_101220,4466_175
4466_86741,186,4466_21972,Citywest,104321393,1,4466_7778022_101220,4466_175
4466_86741,187,4466_21973,Citywest,104431393,1,4466_7778022_101220,4466_175
4466_86741,188,4466_21974,Citywest,104541393,1,4466_7778022_101220,4466_175
4466_86741,189,4466_21975,Citywest,104651393,1,4466_7778022_101220,4466_175
4466_86741,179,4466_21976,Citywest,104264243,1,4466_7778022_100920,4466_176
4466_86741,86,4466_21977,Citywest,103777083,1,4466_7778022_100751,4466_177
4466_86741,190,4466_21978,Citywest,103717083,1,4466_7778022_100751,4466_177
4466_86741,180,4466_21979,Citywest,103811421,1,4466_7778022_101171,4466_175
4466_86723,180,4466_2198,Ticknock,103812905,1,4466_7778022_101060,4466_32
4466_86741,181,4466_21980,Citywest,103821421,1,4466_7778022_101171,4466_175
4466_86741,182,4466_21981,Citywest,103931421,1,4466_7778022_101171,4466_175
4466_86741,183,4466_21982,Citywest,104041421,1,4466_7778022_101171,4466_175
4466_86741,184,4466_21983,Citywest,104151421,1,4466_7778022_101171,4466_175
4466_86741,185,4466_21984,Citywest,104311421,1,4466_7778022_101171,4466_175
4466_86741,186,4466_21985,Citywest,104321421,1,4466_7778022_101171,4466_175
4466_86741,187,4466_21986,Citywest,104431421,1,4466_7778022_101171,4466_175
4466_86741,188,4466_21987,Citywest,104541421,1,4466_7778022_101171,4466_175
4466_86741,189,4466_21988,Citywest,104651421,1,4466_7778022_101171,4466_175
4466_86741,180,4466_21989,Citywest,103811455,1,4466_7778022_101181,4466_175
4466_86723,181,4466_2199,Ticknock,103822905,1,4466_7778022_101060,4466_32
4466_86741,181,4466_21990,Citywest,103821455,1,4466_7778022_101181,4466_175
4466_86741,182,4466_21991,Citywest,103931455,1,4466_7778022_101181,4466_175
4466_86741,183,4466_21992,Citywest,104041455,1,4466_7778022_101181,4466_175
4466_86741,184,4466_21993,Citywest,104151455,1,4466_7778022_101181,4466_175
4466_86741,185,4466_21994,Citywest,104311455,1,4466_7778022_101181,4466_175
4466_86741,186,4466_21995,Citywest,104321455,1,4466_7778022_101181,4466_175
4466_86741,187,4466_21996,Citywest,104431455,1,4466_7778022_101181,4466_175
4466_86741,188,4466_21997,Citywest,104541455,1,4466_7778022_101181,4466_175
4466_86741,189,4466_21998,Citywest,104651455,1,4466_7778022_101181,4466_175
4466_86741,179,4466_21999,Citywest,104264291,1,4466_7778022_100910,4466_176
